TV,Radio,Social Media,Influencer,Sales
16,6.566230788,2.907982773,Mega,54.73275715
13,9.237764567,2.409567204,Mega,46.67789698
41,15.88644602,2.913410175,Mega,150.1778288
83,30.02002826,6.922303959,Mega,298.2463398
15,8.437407682,1.40599815,Micro,56.5941808
29,9.614382036,1.02716349,Mega,105.8891476
55,24.89381148,4.273602146,Micro,198.6798248
31,17.35504181,2.289854925,Nano,108.7339319
76,24.64889821,7.130115956,Macro,270.1894
13,0.431127823,2.229423022,Mega,48.28058223
62,24.34518879,5.151483172,Nano,224.9610192
42,15.8073374,3.194924641,Mega,145.5439916
64,20.24042393,3.921147972,Micro,229.6323807
,22.35166709,3.031815334,Mega,276.1653513
34,0.226326491,2.372705624,Nano,121.3364193
36,3.90019598,0.060401795,Nano,123.5261126
60,22.35372075,0.940801841,Mega,212.7643968
25,9.905842649,1.853224897,Micro,89.8199226
100,36.11609149,3.67429598,Macro,353.8046387
92,40.73698967,4.636563904,Nano,329.3505396
46,12.69509229,3.88458384,Macro,162.1913335
78,35.56822382,2.832450089,Macro,276.4013399
37,2.828972458,4.556701242,Micro,128.4846619
99,37.26381865,6.88653481,Nano,349.8615752
75,20.34898797,1.227180495,Micro,272.2501078
54,27.807614,4.060781965,Nano,192.4619083
,34.11167359,4.624148295,Nano,342.9133724
27,7.280088955,2.179478014,Micro,96.74937343
21,9.282685174,3.055758381,Mega,76.99292807
40,13.05041081,1.971184795,Nano,139.2887894
67,24.13761593,5.573093351,Mega,234.8510253
90,29.02101661,6.431995293,Micro,323.0321827
12,3.567660711,3.558311365,Nano,40.79219533
81,27.33577511,5.263650376,Micro,290.7775735
43,16.34871104,2.814013458,Mega,150.6264947
47,17.37652562,1.905040273,Mega,161.7851523
43,18.23019243,4.079293023,Nano,155.5991953
75,23.62623841,6.199769157,Mega,263.0206872
79,23.51057067,2.188926056,Macro,281.5789422
65,24.56354623,3.41966808,Macro,231.6700477
43,12.84212842,2.593697318,Macro,148.7069665
82,27.64758545,5.611221835,Macro,294.9524151
68,21.63920124,3.223647705,Micro,242.8248811
98,37.57095206,8.529604366,Mega,351.7730679
26,10.59953251,0.679275349,Macro,91.92229739
10,6.145248262,1.591116473,Macro,32.56682505
,34.85963715,7.781416681,Mega,318.9697838
32,0.627618771,2.676075167,Micro,115.2625668
29,8.852094414,0.041494349,Macro,101.8731014
32,11.52414895,2.566791358,Mega,111.8997121
29,14.4341063,0.463277331,Macro,104.3526653
91,40.10852728,7.236170474,Mega,326.3817124
83,34.28141179,8.697487404,Nano,300.7305325
72,23.92269582,3.373809656,Mega,255.1551652
47,24.16913194,2.087910259,Micro,161.7170871
10,3.455868379,2.400118071,Micro,39.62567824
49,10.06762616,1.729667405,Macro,169.0081129
14,5.197856187,0.413965989,Mega,50.98848158
20,10.75005058,2.442173814,Macro,70.47172273
17,10.44745162,3.356106421,Nano,58.59009126
68,29.8927411,6.096743741,Mega,237.7721637
91,25.04555745,6.109369688,Macro,322.1004964
52,17.11323977,2.638642418,Mega,181.0796122
41,3.921540021,2.527850591,Nano,145.9192
65,11.65648785,0.358471532,Micro,228.5646491
82,31.60769079,3.952448108,Mega,288.9822393
14,18.64944183,4.529927084,Mega,49.81567405
84,31.26640836,8.080731556,Nano,299.099052
99,30.14056912,6.546158024,Mega,351.3598902
15,2.234293408,1.07771826,Mega,55.00971238
64,24.69852188,6.741382758,Micro,223.0991462
70,15.2477262,4.587703384,Macro,247.1394014
77,26.82235002,5.514187222,Nano,274.7071
81,20.39194685,3.212250256,Macro,289.1757587
46,17.79013454,4.117631989,Micro,168.0365387
,6.48229344,0.866844994,Macro,91.17721555
56,25.27608704,3.239265214,Mega,198.3215216
98,33.05515873,6.063457718,Mega,349.7452965
47,18.2339617,0.827545346,Mega,166.1372196
18,8.808702773,2.414186295,Nano,59.28931563
77,22.9553127,2.642504816,Mega,272.6321364
22,6.041725794,2.136632357,Mega,77.41731834
99,37.7178052,3.590086383,Nano,349.4239745
36,9.096779889,3.81883449,Mega,127.0926738
12,1.648197979,1.30572513,Mega,43.06509252
94,47.11629339,9.322957802,Micro,336.5934202
97,39.23230636,3.698661076,Nano,345.3131637
44,16.91203429,4.034660177,Macro,154.2065565
86,31.52189727,6.398283645,Mega,304.7437748
93,33.05945096,5.78929841,Micro,335.2090696
30,10.64510759,1.915517115,Macro,104.1809671
32,0.758066665,2.359200238,Mega,112.269694
29,2.172596338,4.208324504,Mega,103.6348659
72,25.40659637,3.215455403,Micro,262.4011715
14,8.001265854,4.18783431,Micro,51.44298395
95,38.41522497,7.673636553,Micro,336.7606331
20,3.934783488,0.328469804,Nano,72.62590273
49,24.35904434,3.797367287,Nano,174.1981389
29,11.21368878,0.55883658,Macro,98.99963768
,7.635819371,1.554145839,Macro,56.18672988
39,13.18725635,2.766352269,Macro,140.4152859
87,33.70789822,3.327272719,Nano,309.3616681
38,9.437711713,4.377587812,Mega,133.5654887
43,9.726736048,0.337998227,Macro,152.2546677
30,8.421994731,3.279480595,Macro,112.3081088
93,19.95638677,2.261406312,Mega,333.5791129
86,25.26070742,6.765663894,Nano,307.6190894
63,26.03598627,3.290816886,Nano,225.4862319
93,28.03820883,2.924281836,Nano,333.9664321
94,32.14620508,4.61092529,Macro,334.6459156
63,21.84654391,2.64241023,Macro,222.4683071
30,17.46901907,4.337634178,Nano,105.1853123
18,7.291955516,2.317959067,Micro,62.31766345
24,3.426021221,0.00317676,Micro,86.11553566
56,14.88018119,2.367556821,Macro,197.225133
40,17.42884965,3.306706147,Macro,143.8359148
74,29.56295098,2.060719698,Micro,263.105633
52,14.56589504,1.9982184,Mega,182.9860143
74,20.22086793,4.540904518,Macro,267.7373384
,30.47048529,6.806918967,Micro,336.8186903
70,15.3541893,1.049369556,Micro,250.7513879
99,33.87824351,8.091610987,Mega,356.5821434
42,15.21523612,1.501445964,Nano,145.2164746
85,31.79693826,2.16250238,Mega,303.397391
38,8.872274678,1.605213404,Macro,132.3443679
30,15.43267247,3.9865702,Macro,104.5039262
49,21.03218038,5.087016957,Micro,174.5641128
27,6.447508155,1.415638249,Mega,96.43343282
30,4.561312156,1.652759623,Mega,104.1503565
100,36.57380821,5.273156173,Mega,354.7973747
21,1.380311071,5.286680958,Mega,80.94072509
38,18.90360911,4.889993447,Macro,131.1015188
39,9.722746017,0.903060425,Micro,135.5443199
14,4.828279786,0.28603859,Micro,49.18778559
40,18.378401,1.320080106,Mega,141.3801238
33,17.44947546,0.887761603,Macro,119.3308074
88,26.00963987,1.495600762,Nano,321.0466894
67,28.48182095,1.520803886,Mega,240.4027581
65,20.06155575,3.529274197,Nano,226.9989318
95,30.73728576,8.980234377,Micro,341.4281402
95,36.42230623,9.997472195,Nano,335.3014311
,9.164463979,1.096681429,Macro,65.25918923
77,31.6532001,7.776978403,Nano,273.9603772
70,21.43851856,5.708104984,Mega,249.3019048
34,16.19365273,0.792203039,Mega,117.0546557
59,13.45217597,1.50308216,Macro,208.7495053
30,12.1555835,0.932529328,Macro,106.0995933
68,22.38968684,1.506105779,Micro,243.0816632
43,8.573864534,3.298362157,Micro,156.9537519
18,8.477135293,0.608817354,Mega,61.70848657
84,33.9556193,4.479871088,Nano,299.3466037
61,28.38518716,6.157704568,Micro,222.4507601
24,11.88643795,1.558209074,Micro,82.54907175
41,8.715248318,0.181466489,Nano,144.5920869
67,18.30464111,4.895171905,Micro,234.021177
51,24.00692574,4.152022007,Nano,183.3277351
100,36.73413489,7.359714283,Micro,354.1039697
44,18.94795499,2.229813818,Micro,160.5796388
10,0.758569411,0.527880863,Nano,35.54799802
21,1.397371107,1.444591132,Nano,77.54794767
32,5.471955572,0.672964457,Micro,110.3748636
98,31.36391464,5.657550436,Nano,351.4266721
39,4.856123013,0.874163256,Macro,131.0772545
,38.1184237,6.676611421,Micro,328.5551842
40,19.63906306,0.795725948,Micro,146.1456862
44,19.01537456,6.543306951,Mega,153.5822256
49,24.87104934,5.036281432,Nano,174.9861639
78,30.11726533,3.357794085,Macro,278.955153
49,20.42365468,4.346777364,Mega,178.3746767
55,22.37478299,5.066577857,Mega,197.0111372
73,22.86737608,0.968984226,Nano,261.0908818
58,17.39877506,4.007447145,Nano,204.099035
82,23.43478708,5.914866129,Micro,288.0207452
27,10.33353047,1.130122514,Macro,97.61236339
94,29.34460985,3.436481014,Mega,336.3726161
69,23.29045109,5.671686076,Mega,245.979961
94,37.09705521,7.596290451,Nano,334.643793
70,23.80856837,3.766603039,Micro,246.4947988
88,27.46149343,1.524062069,Macro,312.1429635
64,23.08148805,3.056298128,Macro,219.5681841
39,11.78254265,2.956726836,Micro,138.3753078
99,37.73241144,7.72405273,Macro,349.0483366
81,26.42542193,,Macro,288.649441
,1.287060452,0.396178735,Macro,56.54529263
25,0.413849392,,Macro,92.35709194
94,30.49815694,8.823311925,Macro,331.4840935
73,25.34020889,,Mega,258.3589687
36,8.840112507,0.962941668,Nano,125.3870645
78,26.40676494,2.475101624,Macro,271.0264376
89,29.68238385,,Macro,320.2643973
44,6.313173395,1.310027864,Macro,152.8312537
79,27.88320654,7.467941688,Nano,282.7480985
41,13.14265735,,Nano,142.6268646
26,15.26673306,2.205879856,Macro,88.96782897
17,8.197932469,2.119872253,Mega,63.25378214
34,12.66039824,,Mega,117.1141409
13,8.077501591,0.013230147,Nano,48.30375112
98,,6.399729574,Nano,345.9528384
12,3.556576557,0.360014914,Micro,37.24327179
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
